transformer_id,latest_severity,ewma_severity,trend_slope,critical_count,latest_confidence,persistence_bonus,raw_score,final_score,rank
T-025,7.0,5.763116154575197,0.6999999999999995,0,0.16666666666666666,1.0,5.5941123719771335,100.0,1
T-011,7.0,5.812514023354084,0.4999999999999993,0,0.16666666666666666,1.0,5.586461839171855,99.72499809821892,2
T-002,7.0,5.538719341234764,-0.3000000000000003,0,0.16666666666666666,1.0,5.4380131686420246,94.38894272121199,3
T-006,7.0,5.259102106945618,0.09999999999999971,0,0.16666666666666666,1.0,5.4081088600697385,93.31401866845157,4
T-027,6.0,6.122280455392152,0.09999999999999949,0,0.16666666666666666,1.0,5.0739034471813715,81.30085220422622,5
T-029,6.0,5.9109482600627805,0.09999999999999949,0,0.16666666666666666,1.0,5.021070398349028,79.40174409298959,6
T-016,6.0,5.950958198338347,-0.10000000000000123,0,0.16666666666666666,1.0,5.0110728829179205,79.04237882698573,7
T-013,6.0,5.4568746854552534,0.9999999999999999,0,0.16666666666666666,1.0,4.997552004697146,78.55636467357962,8
T-007,6.0,5.568572802481829,0.6000000000000003,0,0.16666666666666666,1.0,4.985476533953791,78.12230635321882,9
T-005,6.0,5.762054300597325,-8.302922475964446e-16,0,0.16666666666666666,1.0,4.973846908482665,77.70427414514116,10
T-010,6.0,5.67713622770385,0.19999999999999965,0,0.16666666666666666,1.0,4.972617390259296,77.66007855010132,11
T-003,6.0,5.708265166972531,0.09999999999999933,0,0.16666666666666666,1.0,4.970399625076467,77.58035996598375,12
T-020,6.0,5.762239496367164,-0.30000000000000016,0,0.16666666666666666,1.0,4.943893207425124,76.62757465690134,13
T-012,6.0,5.752723271786676,-0.30000000000000016,0,0.16666666666666666,1.0,4.9415141512800025,76.54205839535403,14
T-026,6.0,5.561403517591638,-2.5419237134188916e-17,0,0.16666666666666666,1.0,4.923684212731243,75.90115309707659,15
T-017,6.0,5.553909659002663,-0.20000000000000068,0,0.16666666666666666,1.0,4.901810748083999,75.11490140328833,16
T-004,6.0,5.286485325700898,0.29999999999999954,0,0.16666666666666666,1.0,4.884954664758558,74.50900177654883,17
T-018,6.0,5.330249855205995,-2.5419237134188916e-17,0,0.16666666666666666,1.0,4.865895797134832,73.82392206044042,18
T-021,6.0,5.131504930075523,0.2999999999999993,0,0.16666666666666666,1.0,4.846209565852215,73.11629147059621,19
T-000,6.0,5.174793719372769,0.09999999999999964,0,0.16666666666666666,1.0,4.837031763176525,72.78639115460193,20
T-009,6.0,4.72129067934725,1.1999999999999997,0,0.16666666666666666,1.0,4.833656003170146,72.66504791677278,21
T-028,6.0,5.070473002627281,-0.4000000000000011,0,0.16666666666666666,1.0,4.760951583990154,70.05165430729883,22
T-014,6.0,4.797515025049828,0.19999999999999943,0,0.16666666666666666,1.0,4.75271208959579,69.75548191174995,23
T-024,6.0,4.845509659032894,-6.602991742591741e-16,0,0.16666666666666666,1.0,4.744710748091557,69.46787003079106,24
T-015,6.0,4.872691032821013,-0.30000000000000093,0,0.16666666666666666,1.0,4.721506091538586,68.6337680349352,25
T-008,6.0,4.7976462185771185,-0.30000000000000043,0,0.16666666666666666,1.0,4.702744887977613,67.95938798974285,26
T-019,3.0,4.827906241333801,-0.2999999999999998,0,0.16666666666666666,1.0,3.060309893666784,8.921310710259647,27
T-022,3.0,4.863145779004532,-0.4,0,0.16666666666666666,1.0,3.0591197780844666,8.878531461179016,28
T-001,3.0,4.144503421266274,-0.8,0,0.16666666666666666,1.0,2.8394591886499017,0.9827310799065568,29
T-023,3.0,3.9151453940395733,-0.5000000000000004,0,0.16666666666666666,1.0,2.8121196818432272,0.0,30
